Category	Name	Type	Description
Brain 	cerebral cortex 	Brain 	Brain
Female tissues 	cervix, uterine 	Female tissues 	Female tissues
Gastointestinal tract 	colon 	Gastointestinal tract 	Gastointestinal tract
Brain 	corpus callosum 	Brain 	Brain
CL: Orbital biopsy 	Daudi 	Human Burkitt lymphoma cell line 	Human Burkitt lymphoma cell line
Blood cell 	dendritic cells 	Blood cell 	Blood cell
Male tissues 	ductus deferens 	Male tissues 	Male tissues
Gastointestinal tract 	duodenum 	Gastointestinal tract 	Gastointestinal tract
CL: Ascites 	EFO-21 	Metastatic ovarian serous cystadenocarcinoma cell line 	Metastatic ovarian serous cystadenocarcinoma
Female tissues 	endometrium 	Female tissues 	Female tissues
Male tissues 	epididymis 	Male tissues 	Male tissues
Proximal digestive tract 	esophagus 	Proximal digestive tract 	Proximal digestive tract
Female tissues 	fallopian tube 	Female tissues 	Female tissues
CL: Skin 	fHDF/TERT166 	Foreskin fibroblast cell line 	hTERT immortalized human foreskin fibroblast cell line
Liver and gallblader 	gallbladder 	Liver and gallblader 	Liver and gallblader
CL: Glioma 	GAMG 	Glioblastoma cell line 	Glioblastoma cell line
Blood cell 	granulocytes 	Blood cell 	Blood cell
CL: Skin 	HaCaT 	Keratinocyte cell line 	Keratinocyte cell line
CL: Leukemia 	HAP1 	Haploid karyotype cell line 	Haploid karyotype cell line from Chronic myelogenous leukemia
CL: Central lung bronchiole 	HBEC3-KT 	Bbronchial epithelial cell line 	Immortalized human bronchial epithelial cell line
CL: Brain 	HBF TERT88 	Adherent brain fibroblast cell line 	Adherent brain fibroblast cell line
CL: Pleural effusion 	HDLM-2 	Hodgkin lymphoma cell line 	Hodgkin lymphoma cell line
Muscle tissues 	heart muscle 	Muscle tissues 	Muscle tissues
CL: Embryonal kidney 	HEK 293 	Embryonal kidney cell line 	Embryonal kidney cell line, transformed by adenovirus type 5
CL: Peripheral blood 	HEL 	Erythroleukemia cell line 	Erythroleukemia cell line (AML M6 in relapse after treatment for Hodgkin's disease)
CL: Cervix 	HeLa 	Cervical epithelial adenocarcinoma cell line 	Cervical epithelial adenocarcinoma cell line
CL: Liver 	Hep G2 	Hepatocellular carcinoma cell line 	Hepatocellular carcinoma cell line
CL: Liver 	HHSteC 	Primary hepatic stellate cells 	Primary hepatic stellate cells
Brain 	hippocampal formation 	Brain 	Brain
CL: Peripheral blood 	HL-60 	Acute promyelocytic leukemia (APL) cell line 	Acute promyelocytic leukemia (APL) cell line
CL: Peripheral blood 	HMC-1 	Mastcell leukemia cell line 	Mastcell leukemia cell line
CL: Trapezius and erector spinae muscles 	HSkMC 	Primary skeletal muscle cells 	Primary skeletal muscle cells
CL: Corneal epithelium 	hTCEpi 	Corneal epithelial cell line 	hTERT immortalized human corneal epithelial cell line
CL: Thymic epithelium 	hTEC/SVTERT24-B 	Thymic epithelial cell line 	hTERT and SV40 early region immortalized human thymic epithelial cell line
CL: Breast 	hTERT-HME1 	Mammary Gland 	Mammary Gland, Epithelium
CL: Retina 	hTERT-RPE1 	Epithelial retina cells 	Epithelial retina cells immortalized with hTERT
CL: Umbilical vein 	HUVEC TERT2 	Umbilical vein endothelial cell line 	Umbilical vein endothelial cell line
Brain 	hypothalamus 	Brain 	Brain
CL: Peripheral blood 	JURKAT 	T-cell leukemia cell line 	T-cell leukemia cell line
CL: Pleural effusion 	K-562 	Chronic myeloid leukemia (CML) cell line 	Chronic myeloid leukemia (CML) cell line
CL: Bone marrow and peripheral blood 	Karpas-707 	Multiple myeloma cell line 	Multiple myeloma cell line
Kidney and urinary bladder 	kidney 	Kidney and urinary bladder 	Kidney and urinary bladder
CL: Satellite cells (pectoralis major muscle) 	LHCN-M2 	Adherent myoblast cell line 	Adherent myoblast cell line
Liver and gallblader 	liver 	Liver and gallblader 	Liver and gallblader
Respiratory system 	lung 	Respiratory system 	Respiratory system
Bone marrow and lympoid tissues 	lymph node 	Bone marrow and lympoid tissues 	Bone marrow and lympoid tissues
CL: Pleural effusion 	MCF7 	Metastatic breast adenocarcinoma cell line 	Metastatic breast adenocarcinoma cell line
Brain 	midbrain 	Brain 	Brain
CL: Peripheral blood 	MOLT-4 	Acute lymphoblastic leukemia (T-ALL) cell line 	Acute lymphoblastic leukemia (T-ALL) cell line
Blood cell 	monocytes 	Blood cell 	Blood cell
CL: Bone marrow 	NB-4 	Acute promyelocytic leukemia (APL) cell line 	Acute promyelocytic leukemia (APL) cell line
Blood cell 	NK-cells 	Blood cell 	Blood cell
CL: Embryonal carcinoma NTERA-2 	Metastatic embryonal carcinoma cell line 	Metastatic embryonal carcinoma cell line, cloned from TERA-2
CL: Esophagus 	OE19 	Esophageal adenocarcinoma cell line 	Esophageal adenocarcinoma cell line
Brain 	olfactory region 	Brain 	Brain
Female tissues 	ovary 	Female tissues 	Female tissues
Pancreas 	pancreas 	Pancreas 	Pancreas
Endocrine tissues 	parathyroid gland 	Endocrine tissues 	Endocrine tissues
CL: Bone marrow 	PC-3 	Prostate adenocarcinoma cell line 	Metastatic poorly differentiated prostate adenocarcinoma cell line
Brain 	pituitary gland 	Brain 	Brain
Female tissues 	placenta 	Female tissues 	Female tissues
Brain 	pons and medulla 	Brain 	Brain
Male tissues 	prostate 	Male tissues 	Male tissues
Gastointestinal tract 	rectum 	Gastointestinal tract 	Gastointestinal tract
CL: Peripheral blood 	REH 	B cell precursor leukemia 	B cell precursor leukemia
Eye 	retina 	Eye 	Eye
CL: Bone marrow 	RH-30 	Metastatic rhabdomyosarcoma cell line 	Metastatic rhabdomyosarcoma cell line
CL: Peripheral blood 	RPMI-8226 	Multiple myeloma cell line 	Multiple myeloma cell line
CL: Human kidney cortex 	RPTEC TERT1 	Proximal tubular epithelial cell line 	Proximal tubular epithelial cell line
CL: Urinary bladder 	RT4 	Urinary bladder transitional cell carcinoma cell line 	Urinary bladder transitional cell carcinoma
Proximal digestive tract 	salivary gland 	Proximal digestive tract 	Proximal digestive tract
CL: Pleural effusion 	SCLC-21H 	Small cell lung carcinoma cell line 	Small cell lung carcinoma cell line
Male tissues 	seminal vesicle 	Male tissues 	Male tissues
CL: Bone marrow 	SH-SY5Y 	Metastatic neuroblastoma 	Metastatic neuroblastoma, clonal subline of neuroepithelioma cell line SK-N-SH
CL: Cervix 	SiHa 	Cervical squamous cell carcinoma cell line 	Cervical squamous cell carcinoma cell line, integrated 1-2 copies of HPV16
CL: Pleural effusion 	SK-BR-3 	Metastatic breast adenocarcinoma cell line 	Metastatic breast adenocarcinoma cell line
CL: Subcutis 	SK-MEL-30 	Metastatic malignant melanoma cell line 	Metastatic malignant melanoma cell line
Muscle tissues 	skeletal muscle 	Muscle tissues 	Muscle tissues
Skin 	skin 	Skin 	Skin
Gastointestinal tract 	small intestine 	Gastointestinal tract 	Gastointestinal tract
Muscle tissues 	smooth muscle 	Muscle tissues 	Muscle tissues
Spinal cord 	spinal cord 	Spinal cord 	Spinal cord
Bone marrow and lymphoid tissues 	spleen 	Bone marrow and lymphoid tissues 	Bone marrow and lymphoid tissues
Gastointestinal tract 	stomach 	Gastointestinal tract 	Gastointestinal tract
CL: Testis 	SuSa 	Testicular germ cell tumor 	Testicular germ cell tumor
CL: Mammary gland T-47d 	Invasive ductal carcinoma 	Invasive ductal carcinoma
Blood cell 	T-cells 	Blood cell 	Blood cell
Male tissues 	testis 	Male tissues 	Male tissues
Brain 	thalamus 	Brain 	Brain
CL: Peripheral blood 	THP-1 	Acute monocytic leukemia (AML) cell line 	Acute monocytic leukemia (AML) cell line
Bone marrow and lympoid tissues 	thymus 	Bone marrow and lympoid tissues 	Bone marrow and lympoid tissues
Endocrine tissues 	thyroid gland 	Endocrine tissues 	Endocrine tissues
CL: Skin 	TIME 	Microvascular endothelial cells (pooled) 	Telomerase-immortalized human microvascular endothelial cells (pooled)
Tongue 	tongue 	Tongue 	Tongue
Bone marrow and lympoid tissues 	tonsil 	Bone marrow and lympoid tissues 	Bone marrow and lympoid tissues
Peripheral blood mononuclear cell 	total PBMC 	Peripheral blood mononuclear cell 	Peripheral blood mononuclear cell
CL: Brain 	U-138 MG 	Glioblastoma cell line 	Glioblastoma cell line
CL: Bone 	U-2 OS 	Osteosarcoma cell line 	Osteosarcoma cell line
CL: Subcutis 	U-2197 	Malignant fibrous histiocytoma cell line 	Malignant fibrous histiocytoma cell line
CL: Brain 	U-251 MG 	Glioblastoma cell line 	Glioblastoma cell line
CL: Peripheral blood 	U-266/70 	Multiple myeloma cell line 	Multiple myeloma cell line (1970, IL-6-dependent)
CL: Peripheral blood 	U-266/84 	Multiple myeloma cell line 	Multiple myeloma cell line (1984, in vitro differentiated)
CL: Tonsil 	U-698 	B-cell lymphoma cell line (lymphoblastic lymphosarcoma) 	B-cell lymphoma cell line
CL: Brain 	U-87 MG 	Likely glioblastoma, epithelial 	Likely glioblastoma, epithelial
CL: Pleural effusion 	U-937 	Myelomonocytic histiocytic lymphoma cell line 	Myelomonocytic histiocytic lymphoma cell line
Kidney and urinary bladder 	urinary bladder 	Kidney and urinary bladder 	Kidney and urinary bladder
Female tissues 	vagina 	Female tissues 	Female tissues
CL: Skin 	WM-115 	Malignant melanoma cell line 	Malignant melanoma cell line
